Name,Type,Applies To
Mana Regeneration,Prefix,"Any accessory, Belt"
Mana Spent Gained as Ward,Prefix,"Helmet, Body Armor"
Max Ballista and Increased Ballista Attack Speed,Prefix,Body Armor
Melee Attack Speed,Prefix,"One-Handed Axe, Dagger, One-Handed Mace, Sceptre, One-Handed Sword, Two-Handed Axe, Two-Handed Mace, Two-Handed Spear, Two-Handed Sword, Gloves"
Melee Cold Damage,Prefix,"Two-Handed Axe, Two-Handed Mace, Two-Handed Spear, Two-Handed Staff, Two-Handed Sword, One-Handed Axe, Dagger, One-Handed Mace, Sceptre, One-Handed Sword"
Melee Critical Strike Chance,Prefix,"One-Handed Axe, Dagger, One-Handed Mace, Sceptre, One-Handed Sword, Two-Handed Sword, Two-Handed Axe, Two-Handed Mace, Two-Handed Spear, Two-Handed Staff"
Melee Damage,Prefix,"One-Handed Axe, Dagger, One-Handed Mace, Sceptre, One-Handed Sword, Two-Handed Axe, Two-Handed Mace, Two-Handed Spear, Two-Handed Sword, Shield"
Melee Damage Leeched as Health,Prefix,"Gloves, One-Handed Axe, Dagger, One-Handed Mace, Sceptre, One-Handed Sword, Two-Handed Sword, Two-Handed Axe, Two-Handed Mace, Two-Handed Spear"
Melee Damage while Transformed,Prefix,Grand Idol [3×1]
Melee Damage While Transformed,Prefix,"Helmet, Body Armor"
Melee Elemental Damage,Prefix,Ornate Idol [4×1]
Melee Elemental Damage,Prefix,"Helmet, Body Armor"
Melee Fire Damage,Prefix,"Two-Handed Axe, Two-Handed Mace, Two-Handed Spear, Two-Handed Staff, Two-Handed Sword, One-Handed Axe, Dagger, One-Handed Mace, Sceptre, One-Handed Sword"
Melee Lightning Damage,Prefix,"Two-Handed Axe, Two-Handed Mace, Two-Handed Spear, Two-Handed Staff, Two-Handed Sword, One-Handed Axe, Dagger, One-Handed Mace, Sceptre, One-Handed Sword"
Melee Physical Damage,Prefix,"One-Handed Axe, Dagger, One-Handed Mace, Sceptre, One-Handed Sword, Two-Handed Sword, Two-Handed Axe, Two-Handed Mace, Two-Handed Spear, Two-Handed Staff"
Melee Physical Damage For Swarm Strike and Locusts,Prefix,Adorned Idol [2×2]
Melee Physical Damage if wielding a Mace,Prefix,"Helmet, Body Armor"
Melee Physical Damage if wielding a Sword,Prefix,"Helmet, Body Armor"
Melee Void Damage,Prefix,"Two-Handed Axe, Two-Handed Mace, Two-Handed Spear, Two-Handed Staff, Two-Handed Sword, One-Handed Axe, Dagger, One-Handed Mace, Sceptre, One-Handed Sword"
Minion Area and Damage,Prefix,"Amulet, Gloves"
Minion Chance to Inflict Bleed on Hit,Prefix,"Helmet, Body Armor"
Minion Chance To Inflict Plague on Hit,Prefix,Grand Idol [3×1]
Minion Cold Damage,Prefix,Grand Idol [3×1]
Minion Critical Strike Multiplier,Prefix,"Helmet, Body Armor"
Minion Damage,Prefix,"Any accessory, Quiver, Off-Hand Catalyst, Gloves, Belt"
Minion Dodge Rating,Prefix,"Helmet, Boots, Ring, Relic"
Minion Fire Damage,Prefix,Grand Idol [3×1]
Minion Freeze Rate Multiplier,Prefix,"Helmet, Body Armor"
Minion Health,Prefix,"Any accessory, Helmet, Body Armor, Belt, Gloves, Shield, Off-Hand Catalyst"
Minion Health Regen,Prefix,"Helmet, Belt, Relic"
Minion Increased Healing Effectiveness,Prefix,Adorned Idol [2×2]
Minion Melee Critical Strike Chance,Prefix,Huge Idol [1×4]
Minion Melee Damage Leeched as Health,Prefix,Huge Idol [1×4]
Minion Melee Damage Leeched As Health,Prefix,"Body Armor, Helmet"
Minion Spell Critical Strike Chance,Prefix,"Helmet, Body Armor"
Mirages and Mana Efficiency with Lethal Mirage,Prefix,Body Armor
Movement Speed,Prefix,Boots
Necrotic Damage,Prefix,"Any accessory, One-Handed Axe, Dagger, One-Handed Mace, Sceptre, One-Handed Sword, Wand, Two-Handed Axe, Two-Handed Mace, Two-Handed Spear, Two-Handed Staff, Two-Handed Sword, Off-Hand Catalyst, Belt"
Necrotic Damage Taken as Physical,Prefix,"Helmet, Body Armor"
Necrotic Damage while Transformed,Prefix,"Helmet, Body Armor"
Necrotic Penetration,Prefix,Amulet
Necrotic Spell Damage per Skeletal Mage,Prefix,Huge Idol [1×4]
Parry Chance,Prefix,"One-Handed Axe, Dagger, One-Handed Mace, One-Handed Sword, Two-Handed Axe, Two-Handed Mace, Two-Handed Spear, Two-Handed Staff, Two-Handed Sword"
Penetration with Cold Invocations,Prefix,"Helmet, Body Armor"
Penetration with Fire Invocations,Prefix,"Helmet, Body Armor"
Penetration with Lightning Invocations,Prefix,"Helmet, Body Armor"
Physical Damage,Prefix,"Any accessory, One-Handed Axe, Dagger, One-Handed Mace, Sceptre, One-Handed Sword, Wand, Two-Handed Axe, Two-Handed Mace, Two-Handed Spear, Two-Handed Staff, Two-Handed Sword, Quiver, Belt, Bow, Shield"
Physical Damage while Transformed,Prefix,"Helmet, Body Armor"
Physical Penetration,Prefix,Amulet
Physical Penetration while wielding a Dagger,Prefix,Huge Idol [1×4]
Physical Penetration with Bleed,Prefix,"Body Armor, Helmet"
Physical Penetration with Puncture,Prefix,Huge Idol [1×4]
Physical Penetration with Puncture,Prefix,Body Armor
Physical Penetration with Shadow Daggers,Prefix,Large Idol [1×3]
Physical Penetration with Shadow Daggers,Prefix,"Helmet, Body Armor"
Physical Spell Critical Strike Chance,Prefix,"Helmet, Body Armor"
Plague Chance On Hit And Penetration,Prefix,Large Idol [1×3]
Poison Chance per Equipped Dagger,Prefix,Adorned Idol [2×2]
Poison Chance per Equipped Dagger,Prefix,Helmet
Poison Damage,Prefix,"Any accessory, One-Handed Axe, Dagger, One-Handed Mace, Sceptre, One-Handed Sword, Two-Handed Axe, Two-Handed Mace, Two-Handed Spear, Two-Handed Staff, Two-Handed Sword, Quiver, Off-Hand Catalyst, Belt, Bow"
Poison Damage And Poison Resistance,Prefix,"Helmet, Body Armor"
Poison Damage Taken as Physical,Prefix,"Helmet, Body Armor"
Poison Penetration,Prefix,Amulet
Potion Health Converted to Ward,Prefix,"Stout Idol [1×2], Huge Idol [1×4]"
Potion Health Converted to Ward,Prefix,"Belt, Gloves, Relic, Ring"
Recurve Chance with Heartseeker,Prefix,"Helmet, Body Armor"
Reduced Health Cost of Spells,Prefix,Large Idol [1×3]
Reduced Health Cost of Spells,Prefix,Helmet
Rogue Falcon Poison and Bleed Chance,Prefix,Adorned Idol [2×2]
Rogue Recurve Chance and Bow Damage,Prefix,Huge Idol [1×4]
Seconds of Stun Immunity after using Teleport,Prefix,Huge Idol [1×4]
Shared Bleed Chance On Hit,Prefix,"Body Armor, Helmet"
Shared Bleed Duration,Prefix,"Helmet, Body Armor"
Shared Cold Damage,Prefix,"Body Armor, Helmet"
Shared Critical Strike Multiplier,Prefix,Adorned Idol [2×2]
Shared Increased Bleed Duration,Prefix,"Helmet, Body Armor"
Shared Increased Fire Damage,Prefix,"Helmet, Body Armor"
Shared Increased Melee Damage,Prefix,"Helmet, Body Armor"
Shared Increased Necrotic Damage,Prefix,"Helmet, Body Armor"
Shared Increased Spell Damage,Prefix,"Helmet, Body Armor"
Shared Lightning Damage,Prefix,"Helmet, Body Armor"
Shared Physical Damage Leeched As Health,Prefix,"Helmet, Body Armor"
Shared Physical Penetration With Bleed,Prefix,"Helmet, Body Armor"
Shield Throw Base Damage Converted to Void,Prefix,Large Idol [1×3]
Spell Critical Strike Chance,Prefix,"Wand, Sceptre, Two-Handed Staff, Amulet, Relic, Off-Hand Catalyst"
Spell Damage,Prefix,"Sceptre, Wand, Two-Handed Staff, Off-Hand Catalyst, Amulet, Ring"
Spell Damage,Prefix,One-Handed Sword
Spell Damage and Reduced Mana Cost,Prefix,Sceptre
Spell Damage for Curses,Prefix,Grand Idol [3×1]
Spell Damage for Curses,Prefix,Helmet
Spell Damage for Storm Crows,Prefix,Helmet
Spell Damage for Totems,Prefix,"Helmet, Body Armor"
Spell Damage Leeched as Health while Channelling,Prefix,"Helmet, Body Armor"
Spell Damage while Channelling,Prefix,"Helmet, Body Armor"
Spell Damage while Transformed,Prefix,Grand Idol [3×1]
Spell Damage While Transformed,Prefix,"Helmet, Body Armor"
Spell Damage with Tempest Strike,Prefix,Helmet
Static Charges Generated per Second,Prefix,Huge Idol [1×4]
Strength,Prefix,"Helmet, Body Armor, Boots, Ring, Gloves, Relic"
Stun Avoidance,Prefix,"Minor Idol [1×1], Huge Idol [1×4]"
Symbol Duration And Gain Rate,Prefix,Huge Idol [1×4]
Throwing Attack Critical Strike Chance,Prefix,"Helmet, Body Armor"
Throwing Attack Critical Strike Multiplier,Prefix,Large Idol [1×3]
Throwing Attack Speed,Prefix,"Gloves, Ring"
Throwing Damage,Prefix,"Belt, Gloves, Relic, Amulet"
Throwing Damage and Reduced Mana Cost,Prefix,Ring
Throwing Damage with Caltrops,Prefix,Grand Idol [3×1]
Throwing Physical Damage,Prefix,"Helmet, Body Armor"
Totem Armor,Prefix,Large Idol [1×3]
Totem Critical Strike Chance,Prefix,"Body Armor, Helmet"
Totem Damage,Prefix,"Helmet, Body Armor"
Totem Elemental Resistance,Prefix,Large Idol [1×3]
Vitality,Prefix,"Humble Idol [2×1], Ornate Idol [4×1]"
Vitality,Prefix,"Helmet, Body Armor, Boots"
Void Damage,Prefix,"Any accessory, One-Handed Axe, One-Handed Mace, Sceptre, One-Handed Sword, Two-Handed Axe, Two-Handed Mace, Two-Handed Spear, Two-Handed Staff, Two-Handed Sword, Belt"
Void Damage Over Time,Prefix,"Helmet, Body Armor"
Void Damage Taken as Physical,Prefix,"Helmet, Body Armor"
Void Penetration,Prefix,Amulet
Volatile Zombie Damage and Explosion Area,Prefix,Ornate Idol [4×1]
Volatile Zombie Speed and Damage,Prefix,Body Armor
Ward and Ailment Cleansing on Potion Use,Prefix,Belt
Ward Gained on Kill,Prefix,Amulet
Ward Gained on Potion Use,Prefix,"Belt, Gloves, Amulet"
Ward gained on use with Shift,Prefix,"Helmet, Body Armor"
Ward Gained on use with Smoke Bomb,Prefix,Large Idol [1×3]
Ward gained on use with Smoke Bomb,Prefix,"Helmet, Body Armor"
Ward gained per Rune consumed with Runic Invocation,Prefix,Adorned Idol [2×2]
Ward Gained per Rune consumed with Runic Invocation,Prefix,"Helmet, Body Armor"
Ward Gained When Damage Leaves You At Low Health (5 Second Cooldown),Prefix,Adorned Idol [2×2]
Ward Gained When You Create a Shadow,Prefix,"Helmet, Body Armor"
Ward Granted When Casting Flame Ward,Prefix,Grand Idol [3×1]
Ward On Potion Use,Prefix,"Minor Idol [1×1], Large Idol [1×3]"
Ward Per Second and Increased Health,Prefix,Large Idol [1×3]
Ward per Second during Profane Veil,Prefix,Adorned Idol [2×2]
Ward per Second for you or your allies while standing on your Glyph of Dominion,Prefix,Grand Idol [3×1]
Ward per Second for you or your allies while standing on your Glyph of Dominion,Prefix,Body Armor
Ward per Second while channeling Ghostflame,Prefix,Grand Idol [3×1]
Ward Retention,Prefix,"Minor Idol [1×1], Adorned Idol [2×2]"
Experimental Armor applies to Damage over Time,Prefix,Gloves
Experimental Bee on Potion Use,Prefix,Belt
Experimental Dodge Rating and Endurance Threshold,Prefix,Gloves
Experimental Frenzy Effect,Prefix,Boots
Experimental Haste Effect,Prefix,Boots
Experimental Mana on Potion Use,Prefix,Belt
Experimental Minions Transported with Traversal Skills,Prefix,Boots
Experimental Traversal Cooldown Recovery on Potion Use,Prefix,Belt
Experimental Ward Gained on Traversal,Prefix,Boots
Experimental Ward on Kill,Prefix,Gloves
Experimental Ward on Potion Use,Prefix,Belt
Experimental Ward per Missing Health,Prefix,Gloves
Abyssal Champion's,Prefix,"Two-Handed Sword, Two-Handed Axe"
Andinai's,Prefix,Dagger
Bloom Tender's,Prefix,Two-Handed Spear
Carnage Champion's,Prefix,Amulet
Cave Druid's,Prefix,Two-Handed Staff
Cursed,Prefix,Boots
Death Grip Champion's,Prefix,Relic
Hirish's,Prefix,Body Armor
Infernal Champion's,Prefix,Ring
Julra's,Prefix,Amulet
Meteor Champion's,Prefix,"One-Handed Axe, Dagger, Wand"
Mirage Champion's,Prefix,Gloves
Orian's,Prefix,Two-Handed Spear
Portal Champion's,Prefix,Helmet
Profane Champion's,Prefix,"Two-Handed Staff, Two-Handed Axe"
River Champion's,Prefix,Helmet
Solar Deserter's,Prefix,Shield
Spark Champion's,Prefix,Belt
Storm Champion's,Prefix,"One-Handed Mace, Two-Handed Spear"
Ucenui's,Prefix,Off-Hand Catalyst
Venomous Champion's,Prefix,Gloves
Volcano Champion's,Prefix,Belt
Whirlpool Champion's,Prefix,Amulet
Blade of the Forgotten Knight Reforged,Prefix,One-Handed Sword
Boardman's Fallacy Reforged,Prefix,Body Armor
Boardman's Legacy Reforged,Prefix,Helmet
Boardman's Plank Reforged,Prefix,Sceptre
Corsair's Blood Cowl Reforged,Prefix,Helmet
Corsair's Boarding Shield Reforged,Prefix,Shield
Defiance of the Forgotten Knight Reforged,Prefix,Shield
Ferebor's Chisel Reforged,Prefix,Dagger
Ferebor's Persistence Reforged,Prefix,Ring
Gaspar's Acuity Reforged,Prefix,Body Armor
Gaspar's Insight Reforged,Prefix,Helmet
Gaspar's Will Reforged,Prefix,Sceptre
Halvar's Pledge Reforged,Prefix,Two-Handed Staff
Halvar's Stand Reforged,Prefix,Boots
Last Gift of the Mountain Reforged,Prefix,Relic
Lich's Envy Reforged,Prefix,Gloves
Lich's Scorn Reforged,Prefix,Off-Hand Catalyst
Locket of the Forgotten Knight Reforged,Prefix,Amulet
Pebbles' Bitemarked Sash Reforged,Prefix,Belt
Pebbles' Collar Reforged,Prefix,Relic
Pebbles' Femur Reforged,Prefix,Wand
Ruby Fang Aegis Reforged,Prefix,Shield
Shard of the Shattered Lance Reforged,Prefix,One-Handed Sword
Sinathia's Dying Breath Reforged,Prefix,One-Handed Mace
Sinathia's Resurrection Reforged,Prefix,Shield
Sunforged Cuirass Reforged,Prefix,Body Armor
Sunforged Greathelm Reforged,Prefix,Helmet
Sunforged Hammer Reforged,Prefix,Two-Handed Mace
The Invoker's Frozen Heart Reforged,Prefix,Amulet
The Invoker's Scorching Grasp Reforged,Prefix,Ring
The Invoker's Static Touch Reforged,Prefix,Ring
The Last Bear's Scorn Reforged,Prefix,Body Armor
Vilatria's Downfall Reforged,Prefix,Two-Handed Staff
Vilatria's Storm Crown Reforged,Prefix,Helmet
Zerrick's Ambition Reforged,Prefix,Boots
Zerrick's Greed Reforged,Prefix,Gloves
Zerrick's Guile Reforged,Prefix,Belt
Added Stun Avoidance and Increased Stun Immunity Duration,Prefix,Minor Idol [1×1]
Armor and Increased Armor,Prefix,Minor Idol [1×1]
Chance to Gain 30 Ward When Hit and Ward Decay Threshold,Prefix,Stout Idol [1×2]
Chance to Ignite on Hit and Fire Penetration with Ignite,Prefix,Stout Idol [1×2]
Chance to Inflict Bleed on Hit and Physical Penetration with Bleed,Prefix,Humble Idol [2×1]
Chance to Poison on Hit and Poison Penetration with Poison,Prefix,Humble Idol [2×1]
Chance to Shock on Hit and Increased Shock Duration,Prefix,Stout Idol [1×2]
Cold Penetration and Minion Cold Penetration,Prefix,Minor Idol [1×1]
Cold Penetration and Minion Cold Penetration,Prefix,Stout Idol [1×2]
Dodge Rating and Increased Dodge Rating,Prefix,Small Idol [1×1]
Fire Penetration and Minion Fire Penetration,Prefix,Minor Idol [1×1]
Fire Penetration and Minion Fire Penetration,Prefix,Stout Idol [1×2]
Freeze Rate Multiplier and Ward when you Freeze an Enemy,Prefix,Stout Idol [1×2]
Health on Kill and Added Health,Prefix,Humble Idol [2×1]
Health on Kill and Increased Health,Prefix,Stout Idol [1×2]
Increased Critical Strike Chance and Critical Strike Multiplier,Prefix,Stout Idol [1×2]
Increased Damage Over Time and Less Damage Over Time Taken,Prefix,Small Idol [1×1]
Increased Healing Effectiveness and Added Health,Prefix,Small Idol [1×1]
Increased Health Regeneration and Added Health,Prefix,Small Idol [1×1]
Increased Stun Chance and Added Stun Avoidance,Prefix,Small Idol [1×1]
Increased Stun Duration and Increased Stun Chance,Prefix,Humble Idol [2×1]
Lightning Penetration and Minion Lightning Penetration,Prefix,Minor Idol [1×1]
Lightning Penetration and Minion Lightning Penetration,Prefix,Stout Idol [1×2]
Mana and Increased Mana Regen,Prefix,Minor Idol [1×1]
Necrotic Penetration and Minion Necrotic Penetration,Prefix,Small Idol [1×1]
Necrotic Penetration and Minion Necrotic Penetration,Prefix,Humble Idol [2×1]
Physical Penetration and Minion Physical Penetration,Prefix,Small Idol [1×1]
Physical Penetration and Minion Physical Penetration,Prefix,Humble Idol [2×1]
Poison Penetration and Minion Poison Penetration,Prefix,Small Idol [1×1]
Poison Penetration and Minion Poison Penetration,Prefix,Humble Idol [2×1]
Potion Health Converted to Ward and Ward Gained on Potion use,Prefix,Stout Idol [1×2]
Vitality and Added Health Regen,Prefix,Humble Idol [2×1]
Void Penetration and Minion Void Penetration,Prefix,Small Idol [1×1]
Void Penetration and Minion Void Penetration,Prefix,Humble Idol [2×1]
Ward and Ward Decay Threshold on Potion Use,Prefix,Minor Idol [1×1]
Ward Retention and Ward Per Second,Prefix,Minor Idol [1×1]
