group,id,title,type,rarity,subtype,level,class,min_drop_level,implicit,explicit,lp_level,lp0_pct,lp1_pct,lp2_pct,lp3_pct,lp4_pct,lp_remarks,global_drop_reroll_chance,rune_of_ascendance_chance,vendor_cost,timeline,dungeon,arena,bossfight,related_ailments,related_abilities,lore
Regular Unique Items,385,Cocooned Spear,Two-Handed Spear,,,,,,,Contains a random unique two-handed spear,,,,,,,,,,,,,,,Poison,,
Regular Unique Items,427,Harmony Of The First,Primordial Two-Handed Spear,Unique,Impaler,16,,,"+ 33 Melee Damage
+ (30% to 39%) Melee Critical Strike Multiplier","(6% to 10%) increased Melee Attack Speed
(4% to 6%) increased Movement Speed
+ (48 to 64) Melee Damage
All stats on this item are increased by (16 to 20) % per equipped non-idol magic item Magic items are all items that have one or two non-sealed affixes, excluding unique, set, and legendary items.",60,74.08%,23.42%,2.43%,0.078%,0.00011%,Primordial Unique item - only one Primordial item of any kind can be equipped at a time,,,"Skarven Bloodhorn
Ancient Bones x 12,500
Primordial Fang x 11
Primordial Horn x 11",,,,Rift Beast - 0.03% chance (drop chance increases with evolution and greatly increases with corruption),,,"The first of osprix, wengari, meruna, and nagasa were united in purpose, under the guidance of the gods and Eterra above them."
Regular Unique Items,305,Reowyn'S Fortress,Two-Handed Staff,Unique,Travelling Staff,24,,,"+ 16 Melee Damage
+ (3 to 5) Spell Damage
-3 Mana Cost for Spell Skills","+ (3 to 6) to All Attributes
+ (1 to 3) to Level of Runic Invocation
+ (12 to 18) Spell Damage per Active Rune
+ (30 to 36) Armor per Rah Rune
+ (48 to 54) Dodge Rating per Heo Rune
+ (12 to 18) Ward per Second per Gon Rune
+ 1 Spell Damage with Runic Invocation per 10 Armor, Dodge Rating, or Ward, whichever is lowest",24,52.16%,36.14%,10.45%,1.22%,0.027%,,0%,11.56%,,"The Stolen Lance Timeline (""Unique or Set Staff or Sceptre"" echo rewards) - 7.56% chance",,,,,Runic Invocation,"""I have long travelled the north, Aergon. I have seen the great stone ruins at Reimhaven and Kolheim and I have seen the frozen blood of their ancient defenders. No tower can stand forever and those walls shall not avail you when the flames descends. You must strike first."" - Reowyn's last letter to the mages of Oerden's Watch."
Regular Unique Items,209,Aberrant Call,Two-Handed Staff,Unique,Spine Rod,38,,,"+ 53 Melee Damage
+ (39 to 47) Spell Damage
(39% to 93%) increased Damage Over Time","+ (6 to 12) Maximum Wraiths Affects the Acolyte's
+ (1 to 3) to Level of Summon Wraith
Minions lose 6% of their current health per second
(36% to 62%) increased Mana Regen
(63% to 126%) increased Minion Melee Damage
(13% to 35%) increased Minion Movement Speed",38,61.05%,31.98%,6.48%,0.49%,0.0043%,,0%,11.56%,,"The Stolen Lance Timeline (""Unique or Set Staff or Sceptre"" echo rewards) - 7.56% chance",,,,,Summon Wraith,"A beacon among the eternity of the damned. A call to return to the world of the living, if only for a moment."
Regular Unique Items,205,Curse Of Perseverance,Two-Handed Staff,Unique,Imperial Staff,20,,,"+ 45 Melee Damage
+ (23 to 35) Spell Damage
-3 Mana Cost for Spell Skills","+ 1 to Level of Necrotic Spell Skills
(13% to 63%) increased Necrotic Damage
Hungering Souls projectiles are fired in sequence and can all hit the same target but deal 63% less damage Multiplicative with other modifiers
+ (63 to 73) Health
1% of Necrotic Damage Leeched as Health",40,62.28%,31.29%,6.01%,0.42%,0.0032%,,0%,11.56%,,"The Stolen Lance Timeline (""Unique or Set Staff or Sceptre"" echo rewards) - 7.56% chance",,,,,Hungering Souls,"The last imperial dwelt for centuries beneath Welryn, bound by his own sanctuary to witness the ruin of this world."
Regular Unique Items,289,Bo'S Anarchy,Two-Handed Staff,Unique,Quarter Staff,12,,,"+ 42 Melee Damage
+ (20 to 24) Spell Damage
(20% to 24%) increased Melee Attack Speed","+ (24% to 30%) Block Chance
+ (240 to 420) Block Effectiveness
(30% to 48%) Chance to throw Shurikens on Block
(30% to 48%) chance for Shurikens to Ricochet 3 additional times Shurikens that ricochet cannot pierce
+ 3 to Level of Shurikens
-3 Mana Cost for Throwing Skills
(12% to 18%) more Throwing Damage to Bosses and Rare Enemies",48,67.12%,28.32%,4.32%,0.23%,0.00095%,,0%,11.56%,,"The Stolen Lance Timeline (""Unique or Set Staff or Sceptre"" echo rewards) - 7.56% chance",,,,,Shurikens,The streets of Maj'elka engender no love for authority
Regular Unique Items,124,Dragonflame Edict,Two-Handed Staff,Unique,Dragon Staff,81,,,"+ 95 Melee Damage
+ (85 to 95) Spell Damage
+ 1 to Level of Elemental Skills","+ (100% to 200%) Chance to apply Ignite on Hit with Minion Skills
(100% to 200%) increased Minion Fire Damage
+ (50% to 75%) Minion Fire Resistance
(20% to 50%) of Damage Reflected
60% Chance for the nearest minion to the target location to cast Dragonflame Nova when you use a minion skill (1 second cooldown)",50,68.31%,27.54%,3.96%,0.19%,0.00068%,,,,,Emperor of Corpses (Reign of Dragons Timeline) - 50% chance,,,,Ignite,Dragonflame Nova,Go forth and conquer by force or by fire.
Regular Unique Items,190,Jasper'S Searing Pride,Two-Handed Staff,Unique,Bladed Staff,74,,,"+ 94 Melee Damage
+ (84 to 104) Spell Damage
+ 1 to Level of Melee Skills","+ (55 to 75) Melee Damage
+ (13% to 18%) Block Chance
+ (400 to 700) Block Effectiveness
+ (1 to 3) to Level of Flame Reave
+ (1 to 3) to Level of Surge
+ (1 to 3) to Level of Enchant Weapon
When you use a melee attack and hit at least one enemy you gain a stack of Searing Blades for 16 seconds
Each stack of Searing Blades grants +2 melee fire damage and 20% melee ignite chance",60,74.08%,23.42%,2.43%,0.078%,0.00011%,,0%,11.56%,,"The Stolen Lance Timeline (""Unique or Set Staff or Sceptre"" echo rewards) - 7.56% chance",,,,Ignite,"Flame Reave
Enchant Weapon
Surge",A Warrior's Life burned to ashes and all that's left is pride.
Regular Unique Items,73,Plague Bearer'S Staff,Two-Handed Staff,Unique,Spine Rod,40,,,"+ 53 Melee Damage
+ (39 to 47) Spell Damage
(39% to 93%) increased Damage Over Time","+ (100% to 220%) Chance to apply Poison on Hit
100% Chance To Inflict Plague on Hit Plague deals poison over time and spreads to enemies around the target, but does not stack.
(10% to 200%) Poison Penetration with Plague
(10 to 20) % More Damage Over Time against Enemies afflicted with Plague Multiplicative with other modifiers
20% Chance To Blind Attackers Blind causes enemies to aim erratically, reducing the chance that they will hit you, especially at range. Blind does not stack.
(3% to 6%) of Current Health Drained per Second",60,74.08%,23.42%,2.43%,0.078%,0.00011%,,50%,5.78%,,"The Stolen Lance Timeline (""Unique or Set Staff or Sceptre"" echo rewards) - 3.78% chance",,,,"Blind
Poison
Plague",,The Plague Bearer wandered far and wide searching for a cure for his affliction and left only death in his wake.
Regular Unique Items,169,Aergon'S Refuge,Two-Handed Staff,Unique,Temple Staff,70,,,"+ (90 to 100) Spell Damage
(20% to 30%) increased Mana Regen
(-3 to -5) Mana Cost for Spell Skills","(10% to 20%) of Current Mana gained as Ward when you cast a Fire Spell
+ (1 to 2) to Level of Flame Ward
+ (100 to 750) Ward gained when you cast Flame Ward
10% less Damage Taken if you have at least 1000 Ward Multiplicative with other modifiers
+ (10 to 20) Intelligence
+ 75% Fire Resistance",70,79.56%,19.06%,1.35%,0.027%,0.000013%,,75%,2.89%,,"The Stolen Lance Timeline (""Unique or Set Staff or Sceptre"" echo rewards) - 1.89% chance",,,,,Flame Ward,"""Hold fast, maintain the runes! The flames of Rahyeh may envelope this tower, but they shall not penetrate these walls. There is knowledge here that must not burn."""
Regular Unique Items,149,Omnividence,Two-Handed Staff,Unique,Abyssal Staff,70,,,"+ 70 Melee Damage
+ (63 to 80) Spell Damage
(-3 to -5) Mana Cost for Spell Skills","+ 1 to Level of Void Spell Skills
-5 Mana Cost for Void Spell Skills
(15% to 20%) increased Void Cast Speed
(50% to 100%) of Damage Reflected
(200% to 300%) increased Void Spell Damage",70,79.56%,19.06%,1.35%,0.027%,0.000013%,,90%,1.16%,,"The Stolen Lance Timeline (""Unique or Set Staff or Sceptre"" echo rewards) - 0.76% chance",,,,,,Gaze upon all that will never be.
Regular Unique Items,367,Celestial Doom,Two-Handed Staff,Unique,Abyssal Staff,70,,,"+ 70 Melee Damage
+ (63 to 80) Spell Damage
(-3 to -5) Mana Cost for Spell Skills","(46% to 57%) of Mana spent gained as Maximum Mana for 5 seconds (up to 500)
You cast Doom Pulse when you directly cast a Fire, Cold, Lightning, Necrotic, or Void Spell (4 second cooldown for each spell type). Each spell type has a separate cooldown
+ 1 Spell Damage per 10 Max Mana for Doom Pulse
+ 1% Critical Strike Multiplier per 1% increased Mana Regen for Doom Pulse
+ (11 to 23) Void Spell Damage
(11% to 23%) increased Cast Speed
+ (113 to 227) Ward Decay Threshold
+ (11 to 23) Ward per Second",70,79.56%,19.06%,1.35%,0.027%,0.000013%,,,,,"Harbinger of War (Blood, Frost, and Death Timeline, empowered only) - 10% chance (up to 22% chance with increased item rarity)
Aberroth (Threshold of Eternity Woven Echo) - 10% chance (drops for host only)
Aberroth (Threshold of Eternity Woven Echo) - 2% chance",,,"Aberroth - 10% chance (drops for host only)
Aberroth - 2% chance",,Doom Pulse,
Regular Unique Items,274,Branch Of Hallows,Two-Handed Staff,Unique,Root Staff,74,,,"+ 19 Melee Damage
+ (7 to 9) Spell Damage
-3 Mana Cost for Spell Skills","Gain 400 Ward when you Transform
Each stack of Maelstrom grants (3 to 4) Ward per second
+ (150 to 220) % Ward Retention for 6 seconds when you Transform
(150% to 220%) increased Spell Damage while Transformed
+ (80 to 90) Spell Damage
+ 2 to Level of Cold Skills",74,81.67%,17.28%,1.03%,0.016%,0.0000051%,,50%,5.78%,,"The Stolen Lance Timeline (""Unique or Set Staff or Sceptre"" echo rewards) - 3.78% chance",,,,,Maelstrom,"Most druids talk to their woodland kin, rarely do the trees consider their fleshy brethren. Some branches seek a host to commune with, be it a man, beast, or treekin. Madness touches all in different ways."
Regular Unique Items,323,Wheel Of Torment,Two-Handed Staff,Unique,Abyssal Staff,75,,,"+ 70 Melee Damage
+ (63 to 80) Spell Damage
(-3 to -5) Mana Cost for Spell Skills","+ (1 to 3) to Level of Acolyte Spell Skills
+ (9 to 15) Intelligence
When you directly cast Soul Feast you curse yourself and up to 1 nearby enemy per 10 Intelligence with Torment Can curse enemies within 20 metres but prefers enemies within 8 metres
You gain Haste for 3 seconds when you directly cast Soul Feast
(45% to 63%) increased Effect of Haste on You
(15% to 90%) Necrotic Penetration with Torment
(15% to 21%) Chance to cast Chthonic Fissure when you hit a boss or rare enemy with Soul Feast and don't have an active Fissure",75,82.19%,16.84%,0.96%,0.014%,0.0000039%,,50%,5.78%,,"The Stolen Lance Timeline (""Unique or Set Staff or Sceptre"" echo rewards) - 3.78% chance",,,,"Haste
Torment","Chthonic Fissure
Soul Feast",The torment of consumed souls lingers within their devourer.
Regular Unique Items,386,Cocooned Staff,Two-Handed Staff,,,,,,,Contains a random unique two-handed staff,,,,,,,,,,,,,,,,,
Regular Unique Items,445,Spirit Xylem,Primordial Two-Handed Staff,Unique,Crystal Staff,58,,,"+ 72 Melee Damage
+ (72 to 80) Spell Damage
+ (60 to 80) Mana","+ (3 to 4) to Level of Attunement Skills
+ (10 to 16) Attunement
+ (2 to 4) Health and Mana per Attunement
(20% to 10%) reduced Mana Cost for Spell Skills
(10% to 20%) Reduced Health Cost of Spells
(10% to 20%) more Damage to Bosses and Rare Enemies while above half mana
(20% to 10%) less Damage Taken from Bosses and Rare Enemies while below half mana",70,79.56%,19.06%,1.35%,0.027%,0.000013%,Primordial Unique item - only one Primordial item of any kind can be equipped at a time,,,"Skarven Bloodhorn
Ancient Bones x 18,000
Primordial Petal x 34
Crystallized Heart x 1",,,,Rift Beast - 0.02% chance (drop chance increases with evolution and greatly increases with corruption),,Transplant,The crystal wood inside carries spirits to their rightful destination
Regular Unique Items,141,Hell Reach,Bow,Unique,Shortbow,1,Rogue,,+ 12 Bow Damage,"+ (11 to 20) Fire Bow Damage
10% increased Bow Attack Speed
+ (11% to 20%) Fire Penetration",0,36%,39.68%,19.7%,4.25%,0.37%,,0%,11.49%,,"Fall of the Outcasts Timeline (""Unique or Set Bow or Quiver"" echo rewards) - 7.41% chance",,,,,,As Wyvernfall burned nothing could escape the flames.
Regular Unique Items,137,Uethrin'S Stand,Bow,Unique,Birch Bow,36,Rogue,,"+ 18 Bow Damage
+ (2% to 3%) Critical Strike Chance","(20% to 30%) increased Mana
+ (45% to 60%) Cold Resistance
+ (45% to 60%) Physical Resistance
+ (15 to 25) Bow Physical Damage for Minions
+ 2 Maximum Ballistae Only affects the Rogue's Summon Ballista skill",10,42.86%,38.85%,15.51%,2.64%,0.13%,,0%,11.49%,,"Fall of the Outcasts Timeline (""Unique or Set Bow or Quiver"" echo rewards) - 7.41% chance",,,,,Ballista,Uethrin made his last stand on the shores of Lake Mawn. By dawn all that remained was a pile of Wengari bodies and his line of ballistae standing still and victorious upon the shore. His home was safe for another winter.
Regular Unique Items,242,Shadow String,Bow,Unique,Birch Bow,11,Rogue,,"+ 18 Bow Damage
+ (2% to 3%) Critical Strike Chance","(111% to 211%) increased Critical Strike Chance
+ 1 Charge for Shift
+ (11 to 111) Ward gained when you use Shift
+ 1 Charge for Smoke Bomb
(11 to 111) Ward gained when you use Smoke Bomb",11,43.54%,38.72%,15.12%,2.51%,0.12%,,60%,4.6%,,"Fall of the Outcasts Timeline (""Unique or Set Bow or Quiver"" echo rewards) - 2.96% chance",,,,,"Shift
Smoke Bomb",Unseen hands strike hardest
Regular Unique Items,271,Gathering Fury,Bow,Unique,Storm Bow,50,Rogue,,+ (60 to 72) Lightning Bow Damage,"When you directly use a bow ability, you have a (8 to 12) % chance to repeat it (1 second cooldown)
When you directly use a bow ability and hit an enemy, gain 5% increased attack speed for 3 seconds, stacking up to 10 times",20,49.54%,37.08%,11.79%,1.54%,0.044%,,0%,11.49%,,"Fall of the Outcasts Timeline (""Unique or Set Bow or Quiver"" echo rewards) - 7.41% chance",,,,,,Lightning does strike twice
Regular Unique Items,243,Dragonsong,Bow,Unique,Longbow,36,Rogue,,+ 60 Bow Damage,"+ (12 to 17) Fire Damage with Spells and Attacks
+ 2 to Level of Fire Skills
+ (12 to 17) % increased Attack and Cast Speed with Fire Skills
+ (4 to 7) % Critical Strike Chance with Fire Skills
(24% to 34%) Chance to Cast Dragon Fire on Crit Dragon Fire cannot trigger itself",36,59.8%,32.65%,6.98%,0.56%,0.0057%,,0%,11.49%,,"Fall of the Outcasts Timeline (""Unique or Set Bow or Quiver"" echo rewards) - 7.41% chance",,,,,Dragonfire,
Regular Unique Items,231,Longshot,Bow,Unique,Imperial Bow,23,Rogue,,"+ 24 Bow Damage
(0.2% to 0.3%) of Bow Damage Leeched as Health","Puncture cannot be dodged
Puncture deals up to 40% more hit damage to distant enemies scales linearly from 0% right next to you up to 40% at 15 metres away
+ (4 to 10) Fire Bow Damage
+ (4 to 10) Cold Bow Damage
+ (4 to 10) Lightning Bow Damage
+ 40 Bow Physical Damage if you have at least 40 Dexterity",50,68.31%,27.54%,3.96%,0.19%,0.00068%,,0%,11.49%,,"Fall of the Outcasts Timeline (""Unique or Set Bow or Quiver"" echo rewards) - 7.41% chance",,,,,Puncture,
Regular Unique Items,334,Talons Of Valor,Bow,Unique,Longbow,30,Rogue,,+ 60 Bow Damage,"117% increased Bow Damage
+ (3% to 5%) Critical Strike Chance
+ (1 to 4) to Level of Falconry
+ (1 to 4) to Level of Dive Bomb
+ (1 to 4) to Level of Aerial Assault
When you Critically Strike an enemy your Falcon gains +25 Melee Damage for 4 seconds and your Falcon Abilities recover 25% of their remaining cooldown (1 second cooldown) Falcon Abilities are Falcon Strikes, Dive Bomb, and Aerial Assault.",50,68.31%,27.54%,3.96%,0.19%,0.00068%,,20%,9.2%,,"Fall of the Outcasts Timeline (""Unique or Set Bow or Quiver"" echo rewards) - 5.93% chance",,,,,"Falcon Strikes
Dive Bomb
Aerial Assault
Falconry",
Regular Unique Items,168,Flight Of The First,Bow,Unique,Dreadthorn Bow,58,Rogue,,"+ 48 Bow Damage
+ (3% to 4%) Bow Critical Strike Chance
+ (31% to 61%) Bow Critical Strike Multiplier","5% increased Movement Speed
+ 5% Bow Critical Strike Chance
Moving after Attacking grants you Ancient Flight for 2 seconds Cannot be triggered by movement skills
+2 Arrows with Flurry and Multishot while you have Ancient Flight
100% increased Critical Strike Chance while you have Ancient Flight
+100% Critical Strike Avoidance while you have Ancient Flight",58,72.95%,24.26%,2.69%,0.095%,0.00017%,,50%,5.75%,,"Fall of the Outcasts Timeline (""Unique or Set Bow or Quiver"" echo rewards) - 3.7% chance",,,,Ancient Flight,"Flurry
Multishot",Those who ventured outside in the Ancient Era lived in constant terror
Regular Unique Items,144,Acidfletch,Bow,Unique,Serpent Bow,60,Rogue,,"+ 42 Bow Damage
+ (35% to 70%) Chance to apply Poison on Bow Hit
(10% to 20%) Increased Poison Duration","(80% to 130%) increased Poison Damage
100% of Hail of Arrows Damage converted to Poison
(30% to 60%) increased Hail of Arrows Duration
+ (80% to 130%) Chance to apply Shred Armor on Bow Hit
(80% to 130%) Increased Shred Armor Effect",60,74.08%,23.42%,2.43%,0.078%,0.00011%,,0%,11.49%,,"Fall of the Outcasts Timeline (""Unique or Set Bow or Quiver"" echo rewards) - 7.41% chance",,,,"Shred Armor
Poison",Hail of Arrows,"From the Radiant Dunes to the Sea of Glass, order corrodes throughout Eterra."
Regular Unique Items,142,Drelkor'S Compass,Bow,Unique,Longbow,64,Rogue,,+ 60 Bow Damage,"+ (40 to 50) Physical Bow Damage
(40% to 50%) Increased Bow Stun Chance
-4 Mana Cost for Bow Skills
+ 4 Arrows with Multishot",64,76.31%,21.69%,1.94%,0.052%,0.000050%,,0%,11.49%,,"Fall of the Outcasts Timeline (""Unique or Set Bow or Quiver"" echo rewards) - 7.41% chance",,,,,Multishot,"""Enemies lie to the north, south, east, and west, but it matters not whence they come; Welryn must not fall."" Drelkor, last Lord of the Lakes."
Regular Unique Items,159,Reign Of Winter,Bow,Unique,Longbow,70,Rogue,,+ 60 Bow Damage,"+ (30 to 50) Cold Bow Damage
+ (30 to 50) Cold Spell Damage
+ (5% to 9%) Cold Penetration
(23% to 28%) Chance to cast Icicle on Bow Hit
+ (10 to 15) Attunement",70,79.56%,19.06%,1.35%,0.027%,0.000013%,,,,,Heorot (The Age of Winter Timeline) - 50% chance,,,,,Icicle,"“For us to survive, others must suffer. One day you will accept this truth.” -Morditas, forsaken son of Heorot."
Regular Unique Items,391,Cocooned Bow,Bow,,,,,,,Contains a random unique bow,,,,,,,,,,,,,,,,,
Regular Unique Items,441,Hydra Arc,Primordial Bow,Unique,Serpent Bow,72,Rogue,,"+ 42 Bow Damage
+ (35% to 70%) Chance to apply Poison on Bow Hit
(10% to 20%) Increased Poison Duration","+ (3 to 4) to Level of Dexterity Skills
+ (10 to 16) Dexterity
+ (3 to 33) Fire Bow Damage
+ (3 to 33) Cold Bow Damage
+ (3 to 33) Lightning Bow Damage
After evading you repeat your most recently used bow attack at a nearby enemy (excludes channeled attacks and attacks with cooldowns), consuming 50% of its mana cost Any additional repeats also consume 50% of the mana cost
If you have at least 75 Dexterity you repeat it at up to 2 nearby enemies instead
If you have at least 135 Dexterity you repeat it at up to 3 nearby enemies instead",80,84.72%,14.61%,0.65%,0.0072%,9.9E-7%,Primordial Unique item - only one Primordial item of any kind can be equipped at a time,,,"Skarven Bloodhorn
Ancient Bones x 18,500
Primordial Fang x 18
Primordial Horn x 27",,,,Rift Beast - 0.02% chance (drop chance increases with evolution and greatly increases with corruption),Poison,"Evade (Primalist)
Evade (Mage)
Evade (Sentinel)
Evade (Acolyte)
Evade (Rogue)",
Regular Unique Items,331,Vial Of Volatile Ice,Off-Hand Catalyst,Unique,Glass Catalyst,1,,5,+ (3 to 6) Intelligence,"100% of Acid Flask Base Damage converted to Cold
Poison Chance from all sources is converted to Frostbite Chance for Acid Flask
+ (45% to 85%) Chance to apply Frostbite on Hit with Cold Skills
(17% to 45%) Increased Area for Cold Area Skills
(17% to 45%) increased Cold Damage
+ (45% to 85%) Freeze Rate Multiplier",0,36%,39.68%,19.7%,4.25%,0.37%,,0%,10.1%,,"The Stolen Lance Timeline (""Unique or Set Wand or Catalyst"" echo rewards) - 6.35% chance",,,,"Poison
Frostbite",Acid Flask,
Regular Unique Items,377,Gordian Prism,Off-Hand Catalyst,Unique,Glass Catalyst,28,,5,+ (3 to 6) Intelligence,"Directly cast Three Rune Invocations always cast Grand Prism Nova instead
Grand Prism Nova's base damage is converted based on the Runes used to invoke it For example if it is invoked with two Rah runes and one Heo rune, two thirds of the base damage will be fire, and one third will be cold
Grand Prism Nova gains (50 to 65) % chance to ignite, shock, or chill per Rune Each Rah rune grants ignite chance, each Gon rune grants shock chance, and each Heo rune grants chill chance
10% Chance to not consume Runes when Invoking per Unique Rune The unique runes are Rah, Heo, and Gon. Effects based on runes used will still apply.
(35% to 60%) increased Elemental Damage
+ (60 to 120) Ward Decay Threshold",28,54.74%,35.09%,9.2%,0.95%,0.017%,,0%,10.1%,,"The Stolen Lance Timeline (""Unique or Set Wand or Catalyst"" echo rewards) - 6.35% chance",,,,"Ignite
Shock
Chill","Grand Prism Nova
Runic Invocation","""What is innovation without the power to prove its worth? If you present me a solution that is outperformed by a raw expression of power then you have brought me nothing!"" -Runemaster Gordian"
Regular Unique Items,286,Fragment Of The Enigma,Off-Hand Catalyst,Unique,Rune Stone,46,,5,"+ (8 to 14) Intelligence
+ (20 to 30) Ward per Second","+ (10% to 12%) Chance to apply Spark Charge on Hit
+ 2 Lightning Damage for Spark Charge per Intelligence
(120% to 240%) increased Spark Charge Explosion Area
(65 to 125) % more Damage for Spark Charges applied by Melee Attacks multiplicative with other modifiers
+ 1 to Level of Lightning Skills
When you cast Teleport you apply a Spark Charge to all enemies around the destination",30,56.02%,34.51%,8.61%,0.84%,0.013%,,0%,10.1%,,"The Stolen Lance Timeline (""Unique or Set Wand or Catalyst"" echo rewards) - 6.35% chance",,,,Spark Charge,"Teleport
Spark Charge","When the scholars of Vul'Kaur realised the artifact's power, they shattered it immediately and told not even Majasa of their discovery."
Regular Unique Items,283,Rotmind,Off-Hand Catalyst,Unique,Branded Skull,31,,5,"+ (5 to 9) Intelligence
+ (2% to 3%) Spell Critical Strike Chance","+ (17 to 29) Poison Damage for Damage Over Time Spells
+ 1 to Level of Damage Over Time Spell Skills
17% less Damage Over Time Taken
1% of Poison Damage Leeched as Health
(10% to 17%) Increased Area for Damage Over Time Spell Area Skills",31,56.66%,34.22%,8.33%,0.79%,0.011%,,0%,10.1%,,"The Stolen Lance Timeline (""Unique or Set Wand or Catalyst"" echo rewards) - 6.35% chance",,,,,,"The witches of the Red Marsh learned to cultivate a type of magical fungus within their own skulls. The mycelium grew eagerly into their brains, twisting their minds, but the powers it bestowed were well worth their sanity."
Regular Unique Items,328,Stygian Coal,Off-Hand Catalyst,Unique,Soulmass,36,,5,"+ (12 to 18) Intelligence
(36% to 84%) increased Necrotic Damage","+ (6 to 84) Ward per Second while Channelling
+ (6% to 84%) Chance to apply Ignite on Hit while Channelling
+ (6% to 84%) Chance to apply Damned on Hit while Channelling
Drain Life repeatedly casts Stygian Beams instead of its normal draining effect
1% increased Stygian Beam frequency per Intelligence
3% more Stygian Beam Damage per 10 Current Mana Multiplicative with other modifiers",36,59.8%,32.65%,6.98%,0.56%,0.0057%,,0%,10.1%,,"The Stolen Lance Timeline (""Unique or Set Wand or Catalyst"" echo rewards) - 6.35% chance",,,,"Ignite
Damned","Stygian Beam
Drain Life",The congealed loathing of souls trapped beneath the earth. Ample fuel for the destruction to come.
Regular Unique Items,74,Ignivar'S Head,Off-Hand Catalyst,Unique,Branded Skull,50,,5,"+ (5 to 9) Intelligence
+ (2% to 3%) Spell Critical Strike Chance","(60% to 95%) increased Fire Damage
(60% to 95%) Increased Fire Aura Area
Cast Fire Aura every second while Channelling
+ (50% to 150%) Chance to apply Ignite on Hit while Channelling
Disintegrate deals more damage equal to your spell crit chance If you have 40% spell crit chance Disintegrate deals 40% more damage (multiplicative with other modifiers)",50,68.31%,27.54%,3.96%,0.19%,0.00068%,,0%,10.1%,,"The Stolen Lance Timeline (""Unique or Set Wand or Catalyst"" echo rewards) - 6.35% chance",,,,Ignite,"Fire Aura
Disintegrate",Dying cinders illuminate the empty skull.
Regular Unique Items,317,Frey'S Retreat,Off-Hand Catalyst,Unique,Divine Instrument,62,,5,"+ (8 to 14) Intelligence
+ (2% to 6%) Spell Critical Strike Chance","+ (1 to 4) to Level of Frost Wall
(16% to 40%) increased Frost Wall Duration
When you directly cast Frost Wall it is cast directly in front of you and you leap backwards a short distance and invoke Revik's Blizzard at the wall. Frost Wall now counts as a movement skill. Revik's Blizzard is an Invocation normally cast via the Runic Invocation skill and it scales with Runic Invocation's tree. This consumes Revik's Blizzard's mana cost.
(48% to 108%) increased Cold Damage Over Time
(16% to 24%) more Cold Damage Over Time to Frozen Enemies",62,75.2%,22.56%,2.18%,0.064%,0.000076%,,0%,10.1%,,"The Stolen Lance Timeline (""Unique or Set Wand or Catalyst"" echo rewards) - 6.35% chance",,,,,"Revik's Blizzard
Frost Wall","""The city is lost. All remaining garrisons are to head north. The great roots and ancient wards of Farwood shall be our last stronghold against the horde. And, Heorot Willing, it will be their tomb."" - Arch Cryomancer Frey, Champion of Heorot."
Regular Unique Items,247,Chronicle Of The Damned,Off-Hand Catalyst,Unique,Leatherbound Tome,8,,5,"+ (2 to 5) Intelligence
(5% to 8%) increased Cast Speed","+ 1 to Level of Wandering Spirits
+ 1 to Level of Hungering Souls
+ (6 to 11) Ward gained each second per Active Wandering Spirit Does not count as a Ward Per Second stat for the purpose of stat conversions or scaling
(11% to 16%) Chance to inflict Damned on Hit with Hungering Souls per Active Wandering Spirit
(16% to 26%) Chance to Reveal a Wandering Spirit on Kill (1 Second Cooldown) Scales with the Wandering Spirits tree",8,41.51%,39.1%,16.31%,2.91%,0.17%,,0%,10.1%,,"The Stolen Lance Timeline (""Unique or Set Wand or Catalyst"" echo rewards) - 6.35% chance",,,,Damned,"Wandering Spirits
Hungering Souls","The souls of those whose deaths are inked within these pages are bound to the book itself, forever cursed to serve the reader."
Regular Unique Items,123,Symbol Of Demise,Off-Hand Catalyst,Unique,Rune Stone,80,,5,"+ (8 to 14) Intelligence
+ (20 to 30) Ward per Second","+ (90% to 150%) Ward Retention
(9 to 13) Ward Gain on Kill
Every 3 seconds your ward is consumed, granting a stack of Demise per 13 ward consumed Stacks of Demise last 3 seconds
Each stack of Demise grants 10% Bleed Chance (up to 200%)
Each stack of Demise grants 1% increased Bleed Duration",80,84.72%,14.61%,0.65%,0.0072%,9.9E-7%,,,,,Emperor of Corpses (Reign of Dragons Timeline) - 50% chance,,,,Bleed,,The fate of the world engraved in bone.
Regular Unique Items,369,Tolmat'S Incorrect History Of Eterra,Off-Hand Catalyst,Unique,Leatherbound Tome,9,,5,"+ (2 to 5) Intelligence
(5% to 8%) increased Cast Speed","You summon a Historic Minion from a random era of Eterra
+ (1 to 2) to Level of Minion Skills
+ (4 to 10) Minion Melee Damage
+ (4 to 10) Minion Spell Damage
(6% to 12%) increased Minion Movement Speed
+ (12% to 16%) Elemental Resistance",9,42.19%,38.98%,15.91%,2.77%,0.15%,,0%,10.1%,,"The Stolen Lance Timeline (""Unique or Set Wand or Catalyst"" echo rewards) - 6.35% chance",,,,,Summon Historic Minion,"Written by an esteemed historian, this book chronicles the entire history of Eterra as we understand it. Or, at least, as Sir Tolmat understood it."
